	premises_en	hypothesis_en_1	hypothesis_en_2	gold	gold_deduc	dobon	figure_premises	content
203	All things that are robots are in the pet shop. These cats are not robots.	These cats are in the pet shop.	These cats are not in the pet shop.	2	3	3	AN1	inconsistent
204	No things that are in the pet shop are robots. These cats are robots.	These cats are in the pet shop.	These cats are not in the pet shop.	3	2	1	EP2	consistent
205	No things that are robots are in the pet shop. These cats are robots.	These cats are in the pet shop.	These cats are not in the pet shop.	3	2	1	EP1	consistent
206	No things that are in the pet shop are robots. These cats are not robots.	These cats are in the pet shop.	These cats are not in the pet shop.	1	3	3	EN2	consistent
207	No things that are robots are in the pet shop. These cats are not robots.	These cats are in the pet shop.	These cats are not in the pet shop.	1	3	3	EN1	consistent
208	All things that are in the water bottle are solid. These stones are solid.	These stones are in the water bottle.	These stones are not in the water bottle.	1	3	3	AP2	inconsistent
209	All things that are solid are in the water bottle. These stones are solid.	These stones are in the water bottle.	These stones are not in the water bottle.	3	1	2	AP1	inconsistent
210	All things that are in the water bottle are solid. These stones are not solid.	These stones are in the water bottle.	These stones are not in the water bottle.	3	2	1	AN2	inconsistent
211	All things that are solid are in the water bottle. These stones are not solid.	These stones are in the water bottle.	These stones are not in the water bottle.	2	3	3	AN1	inconsistent
212	No things that are in the water bottle are solid. These stones are solid.	These stones are in the water bottle.	These stones are not in the water bottle.	3	2	1	EP2	consistent
213	No things that are solid are in the water bottle. These stones are solid.	These stones are in the water bottle.	These stones are not in the water bottle.	3	2	1	EP1	consistent
214	No things that are in the water bottle are solid. These stones are not solid.	These stones are in the water bottle.	These stones are not in the water bottle.	1	3	3	EN2	consistent
215	No things that are solid are in the water bottle. These stones are not solid.	These stones are in the water bottle.	These stones are not in the water bottle.	1	3	3	EN1	consistent
